Iteration, Item, Cond, Prime, Target, P_DO, P_PO
1,1,same,show,show,0.31180000000000035,0.6881999999999997
1,1,diff,give,show,0.31039999999999945,0.6896000000000005
1,2,same,hand,hand,0.18839999999999985,0.8116000000000002
1,2,diff,send,hand,0.2016000000000001,0.7984
1,3,same,give,give,0.6912,0.30879999999999996
1,3,diff,lend,give,0.7187999999999999,0.2812000000000001
1,4,same,loan,loan,0.33260000000000006,0.6674
1,4,diff,give,loan,0.37580000000000013,0.6241999999999999
1,5,same,send,send,0.3822,0.6177999999999999
1,5,diff,post,send,0.3971999999999999,0.6028000000000001
1,6,same,give,give,0.7029999999999997,0.29700000000000026
1,6,diff,hand,give,0.7108,0.2892
1,7,same,post,post,0.3495999999999997,0.6504000000000003
1,7,diff,sell,post,0.3839999999999999,0.6160000000000001
1,8,same,lend,lend,0.4803999999999998,0.5196000000000002
1,8,diff,show,lend,0.5376000000000002,0.46239999999999976
1,9,same,show,show,0.2673999999999997,0.7326000000000004
1,9,diff,give,show,0.31239999999999996,0.6876
1,10,same,hand,hand,0.19380000000000003,0.8062
1,10,diff,send,hand,0.20539999999999997,0.7946
1,11,same,loan,loan,0.3392000000000002,0.6607999999999998
1,11,diff,give,loan,0.3786000000000001,0.6214
1,12,same,sell,sell,0.22639999999999977,0.7736000000000003
1,12,diff,show,sell,0.2295999999999999,0.7704000000000001
1,13,same,send,send,0.38000000000000006,0.6199999999999999
1,13,diff,post,send,0.38520000000000026,0.6147999999999998
1,14,same,give,give,0.6923999999999998,0.3076000000000002
1,14,diff,hand,give,0.7053999999999997,0.2946000000000005
1,15,same,post,post,0.3373999999999996,0.6626000000000005
1,15,diff,send,post,0.38039999999999985,0.6196000000000002
1,16,same,show,show,0.29240000000000005,0.7076
1,16,diff,lend,show,0.31140000000000007,0.6886
1,17,same,hand,hand,0.18680000000000027,0.8131999999999998
1,17,diff,offer,hand,0.1964,0.8036
1,18,same,lend,lend,0.4960000000000001,0.5039999999999999
1,18,diff,sell,lend,0.5017999999999997,0.4982000000000003
1,19,same,send,send,0.3732000000000003,0.6267999999999998
1,19,diff,show,send,0.40460000000000007,0.5953999999999999
1,20,same,show,show,0.30980000000000013,0.6901999999999998
1,20,diff,throw,show,0.30360000000000004,0.6963999999999999
1,21,same,loan,loan,0.34959999999999986,0.6504000000000002
1,21,diff,give,loan,0.3812000000000002,0.6187999999999998
1,22,same,give,give,0.7010000000000001,0.2989999999999999
1,22,diff,hand,give,0.7088000000000001,0.2911999999999999
1,23,same,lend,lend,0.49999999999999956,0.5000000000000004
1,23,diff,show,lend,0.5548,0.44519999999999993
1,24,same,send,send,0.37639999999999973,0.6236000000000003
1,24,diff,post,send,0.37760000000000016,0.6223999999999997
1,25,same,give,give,0.6803999999999999,0.3196000000000001
1,25,diff,lend,give,0.6894000000000001,0.3106
1,26,same,hand,hand,0.1918,0.8082
1,26,diff,offer,hand,0.1983999999999998,0.8016000000000002
1,27,same,send,send,0.3627999999999999,0.6372
1,27,diff,show,send,0.38460000000000016,0.6153999999999998
1,28,same,show,show,0.2902,0.7098
1,28,diff,throw,show,0.32119999999999976,0.6788000000000002
1,29,same,loan,loan,0.3551999999999997,0.6448000000000003
1,29,diff,give,loan,0.3764000000000003,0.6235999999999997
1,30,same,hand,hand,0.2022,0.7978
1,30,diff,give,hand,0.20219999999999977,0.7978000000000003
1,31,same,lend,lend,0.47700000000000026,0.5229999999999997
1,31,diff,show,lend,0.5273999999999999,0.4726000000000002
1,32,same,send,send,0.3803999999999996,0.6196000000000003
1,32,diff,post,send,0.39099999999999985,0.6090000000000002
2,1,same,show,show,0.2878,0.7121999999999999
2,1,diff,give,show,0.3253999999999999,0.6746000000000001
2,2,same,hand,hand,0.20640000000000003,0.7935999999999999
2,2,diff,send,hand,0.22079999999999977,0.7792000000000002
2,3,same,give,give,0.7004000000000001,0.2996
2,3,diff,lend,give,0.7134000000000005,0.28659999999999963
2,4,same,loan,loan,0.32620000000000005,0.6738
2,4,diff,give,loan,0.3908000000000002,0.6091999999999999
2,5,same,send,send,0.40659999999999996,0.5934
2,5,diff,post,send,0.3901999999999999,0.6098000000000001
2,6,same,give,give,0.6750000000000003,0.3249999999999998
2,6,diff,hand,give,0.7152,0.28480000000000005
2,7,same,post,post,0.3523999999999999,0.6476000000000002
2,7,diff,sell,post,0.40099999999999975,0.5990000000000002
2,8,same,lend,lend,0.45880000000000015,0.5411999999999998
2,8,diff,show,lend,0.5329999999999997,0.46700000000000036
2,9,same,show,show,0.2962,0.7037999999999999
2,9,diff,give,show,0.3049999999999999,0.6950000000000002
2,10,same,hand,hand,0.20100000000000046,0.7989999999999996
2,10,diff,send,hand,0.21519999999999995,0.7848
2,11,same,loan,loan,0.34799999999999986,0.6520000000000001
2,11,diff,give,loan,0.3839999999999998,0.6160000000000003
2,12,same,sell,sell,0.2265999999999999,0.7734000000000001
2,12,diff,show,sell,0.2306,0.7693999999999999
2,13,same,send,send,0.3708000000000002,0.6291999999999999
2,13,diff,post,send,0.39059999999999995,0.6094000000000002
2,14,same,give,give,0.689,0.31100000000000017
2,14,diff,hand,give,0.714,0.2860000000000001
2,15,same,post,post,0.36180000000000023,0.6381999999999998
2,15,diff,send,post,0.39199999999999996,0.608
2,16,same,show,show,0.2823999999999999,0.7176000000000002
2,16,diff,lend,show,0.3145999999999999,0.6854
2,17,same,hand,hand,0.20299999999999985,0.797
2,17,diff,offer,hand,0.2141999999999999,0.7858000000000002
2,18,same,lend,lend,0.4878000000000002,0.5121999999999999
2,18,diff,sell,lend,0.5254000000000001,0.4745999999999998
2,19,same,send,send,0.3753999999999998,0.6246000000000002
2,19,diff,show,send,0.3625999999999998,0.6374000000000002
2,20,same,show,show,0.3029999999999996,0.6970000000000004
2,20,diff,throw,show,0.2919999999999997,0.7080000000000003
2,21,same,loan,loan,0.3386000000000001,0.6614
2,21,diff,give,loan,0.36460000000000004,0.6354
2,22,same,give,give,0.6804000000000003,0.3195999999999998
2,22,diff,hand,give,0.7104000000000004,0.2895999999999997
2,23,same,lend,lend,0.4811999999999998,0.5188000000000003
2,23,diff,show,lend,0.5226,0.47740000000000016
2,24,same,send,send,0.3764,0.6235999999999999
2,24,diff,post,send,0.37799999999999967,0.6220000000000002
2,25,same,give,give,0.6959999999999997,0.3040000000000003
2,25,diff,lend,give,0.6968000000000001,0.3031999999999998
2,26,same,hand,hand,0.1746,0.8254000000000001
2,26,diff,offer,hand,0.20000000000000007,0.8
2,27,same,send,send,0.3802000000000001,0.6197999999999999
2,27,diff,show,send,0.3867999999999999,0.6132000000000001
2,28,same,show,show,0.30500000000000016,0.6949999999999998
2,28,diff,throw,show,0.2732000000000003,0.7267999999999999
