Iteration, Item, Cond, Target, P_DO, P_PO
1,1,control,show,0.30419999999999964,0.6958000000000004
1,2,control,hand,0.2053999999999998,0.7946000000000002
1,3,control,give,0.6947999999999999,0.30520000000000025
1,4,control,loan,0.37459999999999993,0.6254000000000002
1,5,control,send,0.39759999999999995,0.6024
1,6,control,give,0.702,0.298
1,7,control,post,0.3775999999999997,0.6224000000000003
1,8,control,lend,0.5354,0.46460000000000007
1,9,control,show,0.31720000000000015,0.6827999999999999
1,10,control,hand,0.19820000000000004,0.8017999999999998
1,11,control,loan,0.3782,0.6218
1,12,control,sell,0.24440000000000034,0.7555999999999997
1,13,control,send,0.3879999999999998,0.6120000000000002
1,14,control,give,0.7205999999999999,0.27940000000000015
1,15,control,post,0.3732000000000003,0.6267999999999997
1,16,control,show,0.29359999999999975,0.7064000000000004
1,17,control,hand,0.20460000000000012,0.7953999999999999
1,18,control,lend,0.5282,0.4717999999999999
1,19,control,send,0.3972000000000002,0.6027999999999999
1,20,control,show,0.29939999999999983,0.7006000000000002
1,21,control,loan,0.36080000000000023,0.6391999999999999
1,22,control,give,0.7037999999999999,0.29620000000000013
1,23,control,lend,0.5419999999999999,0.458
1,24,control,send,0.38060000000000016,0.6193999999999998
1,25,control,give,0.7114,0.28859999999999997
1,26,control,hand,0.18740000000000004,0.8125999999999999
1,27,control,send,0.39040000000000014,0.6095999999999999
1,28,control,show,0.30500000000000005,0.6950000000000001
1,29,control,loan,0.3811999999999999,0.6188000000000001
1,30,control,hand,0.2042000000000002,0.7957999999999998
1,31,control,lend,0.5454000000000001,0.45459999999999984
1,32,control,send,0.36900000000000005,0.6309999999999999
2,1,control,show,0.3116000000000002,0.6883999999999998
2,2,control,hand,0.20119999999999968,0.7988000000000003
2,3,control,give,0.7005999999999999,0.2994
2,4,control,loan,0.3784000000000003,0.6215999999999996
2,5,control,send,0.3759999999999999,0.6240000000000001
2,6,control,give,0.6897999999999999,0.31020000000000014
2,7,control,post,0.41440000000000005,0.5855999999999999
2,8,control,lend,0.5286,0.4714000000000001
2,9,control,show,0.3215999999999999,0.6784000000000001
2,10,control,hand,0.21159999999999995,0.7884
2,11,control,loan,0.39899999999999985,0.6010000000000002
2,12,control,sell,0.24460000000000015,0.7554
2,13,control,send,0.3864000000000002,0.6135999999999998
2,14,control,give,0.7089999999999999,0.29100000000000015
2,15,control,post,0.37460000000000016,0.6254
2,16,control,show,0.30359999999999976,0.6964000000000002
2,17,control,hand,0.19099999999999978,0.8090000000000003
2,18,control,lend,0.5031999999999999,0.49680000000000013
2,19,control,send,0.38419999999999976,0.6158000000000003
2,20,control,show,0.3304000000000001,0.6696
2,21,control,loan,0.3772000000000002,0.6227999999999998
2,22,control,give,0.6942000000000002,0.30579999999999985
2,23,control,lend,0.5192,0.48080000000000006
2,24,control,send,0.3856000000000002,0.6143999999999997
2,25,control,give,0.7150000000000001,0.28499999999999986
2,26,control,hand,0.18019999999999997,0.8198000000000001
2,27,control,send,0.39280000000000037,0.6071999999999997
2,28,control,show,0.29740000000000016,0.7025999999999999
2,29,control,loan,0.37320000000000003,0.6268
2,30,control,hand,0.2200000000000002,0.7799999999999998
2,31,control,lend,0.5221999999999999,0.47780000000000006
2,32,control,send,0.3754000000000003,0.6245999999999997
3,1,control,show,0.31500000000000017,0.6849999999999998
3,2,control,hand,0.20420000000000005,0.7958000000000001
3,3,control,give,0.7082,0.29179999999999995
3,4,control,loan,0.3787999999999999,0.6212000000000002
