Iteration, Item, Cond, Prime, Target, P_DO, P_PO
1,1,same,show,show,0.3659999999999999,0.6340000000000001
1,1,diff,give,show,0.3310000000000001,0.6689999999999998
1,2,same,hand,hand,0.29019999999999985,0.7098000000000002
1,2,diff,send,hand,0.2528000000000001,0.7471999999999999
1,3,same,give,give,0.6952000000000003,0.3047999999999997
1,3,diff,lend,give,0.6944000000000005,0.3055999999999996
1,4,same,loan,loan,0.45580000000000026,0.5441999999999998
1,4,diff,give,loan,0.4304,0.5695999999999999
1,5,same,send,send,0.4116000000000002,0.5883999999999998
1,5,diff,post,send,0.38339999999999996,0.6165999999999999
1,6,same,give,give,0.6922000000000003,0.3077999999999997
1,6,diff,hand,give,0.7031999999999998,0.29680000000000023
1,7,same,post,post,0.4843999999999999,0.5156000000000001
1,7,diff,sell,post,0.4339999999999994,0.5660000000000005
1,8,same,lend,lend,0.5537999999999998,0.44620000000000015
1,8,diff,show,lend,0.5104000000000001,0.4895999999999999
1,9,same,show,show,0.3504000000000003,0.6495999999999996
1,9,diff,give,show,0.33960000000000024,0.6603999999999998
1,10,same,hand,hand,0.3147999999999999,0.6852000000000001
1,10,diff,send,hand,0.24959999999999977,0.7504000000000003
1,11,same,loan,loan,0.47740000000000005,0.5226000000000001
1,11,diff,give,loan,0.4159999999999999,0.5840000000000001
1,12,same,sell,sell,0.34320000000000017,0.6567999999999998
1,12,diff,show,sell,0.3085999999999999,0.6914000000000002
1,13,same,send,send,0.4326000000000001,0.5673999999999999
1,13,diff,post,send,0.3838,0.6162000000000001
1,14,same,give,give,0.7031999999999999,0.29680000000000006
1,14,diff,hand,give,0.6689999999999998,0.3310000000000001
1,15,same,post,post,0.48339999999999983,0.5166000000000002
1,15,diff,send,post,0.3993999999999998,0.6006000000000002
1,16,same,show,show,0.36340000000000017,0.6365999999999997
1,16,diff,lend,show,0.3174,0.6826
1,17,same,hand,hand,0.29799999999999993,0.7020000000000001
1,17,diff,offer,hand,0.26359999999999967,0.7364000000000003
1,18,same,lend,lend,0.5494000000000002,0.45059999999999983
1,18,diff,sell,lend,0.5190000000000002,0.48099999999999976
1,19,same,send,send,0.4084000000000001,0.5915999999999999
1,19,diff,show,send,0.3972,0.6027999999999999
1,20,same,show,show,0.37240000000000006,0.6275999999999999
1,20,diff,throw,show,0.3319999999999998,0.6680000000000001
1,21,same,loan,loan,0.4789999999999999,0.521
1,21,diff,give,loan,0.3951999999999999,0.6048
1,22,same,give,give,0.6917999999999997,0.30820000000000036
1,22,diff,hand,give,0.6805999999999999,0.3194000000000001
1,23,same,lend,lend,0.5467999999999998,0.45320000000000016
1,23,diff,show,lend,0.5207999999999998,0.4792000000000001
1,24,same,send,send,0.4018000000000001,0.5981999999999998
1,24,diff,post,send,0.3978000000000001,0.6021999999999998
1,25,same,give,give,0.6946000000000001,0.3053999999999999
1,25,diff,lend,give,0.6950000000000003,0.3049999999999998
1,26,same,hand,hand,0.31499999999999967,0.6850000000000003
1,26,diff,offer,hand,0.23359999999999992,0.7664000000000002
1,27,same,send,send,0.4211999999999998,0.5788000000000002
1,27,diff,show,send,0.3955999999999998,0.6044000000000002
1,28,same,show,show,0.36960000000000004,0.6303999999999998
1,28,diff,throw,show,0.3488,0.6512
1,29,same,loan,loan,0.4622,0.5378000000000001
1,29,diff,give,loan,0.39559999999999995,0.6044
1,30,same,hand,hand,0.2898000000000004,0.7101999999999997
1,30,diff,give,hand,0.24959999999999988,0.7504000000000002
1,31,same,lend,lend,0.5586000000000001,0.4413999999999999
1,31,diff,show,lend,0.5092,0.49079999999999996
1,32,same,send,send,0.3992,0.6008
1,32,diff,post,send,0.3949999999999996,0.6050000000000004
2,1,same,show,show,0.3660000000000001,0.6339999999999999
2,1,diff,give,show,0.31539999999999996,0.6846
2,2,same,hand,hand,0.2937999999999999,0.7061999999999999
2,2,diff,send,hand,0.26300000000000007,0.737
2,3,same,give,give,0.7025999999999999,0.29740000000000016
2,3,diff,lend,give,0.7021999999999997,0.2978000000000003
2,4,same,loan,loan,0.4668000000000001,0.5332
2,4,diff,give,loan,0.3976000000000002,0.6023999999999997
2,5,same,send,send,0.4033999999999999,0.5966000000000002
2,5,diff,post,send,0.4026000000000003,0.5973999999999997
2,6,same,give,give,0.6909999999999998,0.3090000000000001
2,6,diff,hand,give,0.7027999999999999,0.2972000000000001
2,7,same,post,post,0.48979999999999974,0.5102000000000002
2,7,diff,sell,post,0.4237999999999995,0.5762000000000004
2,8,same,lend,lend,0.5427999999999998,0.45720000000000016
2,8,diff,show,lend,0.4968000000000002,0.5031999999999998
2,9,same,show,show,0.372,0.628
2,9,diff,give,show,0.33099999999999985,0.6690000000000002
2,10,same,hand,hand,0.2865999999999999,0.7134000000000001
2,10,diff,send,hand,0.2452,0.7548
2,11,same,loan,loan,0.48759999999999987,0.5124000000000001
2,11,diff,give,loan,0.3844,0.6155999999999999
2,12,same,sell,sell,0.3606,0.6393999999999999
2,12,diff,show,sell,0.2751999999999997,0.7248000000000003
2,13,same,send,send,0.4082,0.5918000000000001
2,13,diff,post,send,0.3897999999999999,0.6102000000000001
2,14,same,give,give,0.7013999999999999,0.29860000000000014
2,14,diff,hand,give,0.7020000000000002,0.29799999999999977
2,15,same,post,post,0.47379999999999994,0.5262
2,15,diff,send,post,0.42459999999999987,0.5754000000000001
2,16,same,show,show,0.3742000000000001,0.6257999999999999
2,16,diff,lend,show,0.3425999999999999,0.6574
2,17,same,hand,hand,0.2816000000000001,0.7183999999999999
2,17,diff,offer,hand,0.2474000000000002,0.7525999999999999
2,18,same,lend,lend,0.5478000000000002,0.4521999999999999
2,18,diff,sell,lend,0.5037999999999999,0.4962000000000001
2,19,same,send,send,0.4065999999999999,0.5934
2,19,diff,show,send,0.4251999999999999,0.5748000000000001
2,20,same,show,show,0.3797999999999999,0.6202000000000001
2,20,diff,throw,show,0.3540000000000003,0.6459999999999996
2,21,same,loan,loan,0.47199999999999986,0.5280000000000002
2,21,diff,give,loan,0.4104,0.5896
2,22,same,give,give,0.6833999999999999,0.3166000000000002
2,22,diff,hand,give,0.6964000000000001,0.30360000000000004
2,23,same,lend,lend,0.5544000000000001,0.4456
2,23,diff,show,lend,0.5184000000000002,0.48159999999999975
2,24,same,send,send,0.39319999999999994,0.6068000000000001
2,24,diff,post,send,0.39119999999999977,0.6088000000000001
2,25,same,give,give,0.6806000000000001,0.3194
2,25,diff,lend,give,0.7118000000000002,0.2881999999999998
2,26,same,hand,hand,0.30500000000000005,0.6950000000000001
2,26,diff,offer,hand,0.23839999999999967,0.7616000000000004
2,27,same,send,send,0.4086000000000001,0.5913999999999999
2,27,diff,show,send,0.3935999999999998,0.6064000000000002
2,28,same,show,show,0.3822000000000002,0.6177999999999998
2,28,diff,throw,show,0.3394000000000004,0.6605999999999996
2,29,same,loan,loan,0.4738,0.5262
2,29,diff,give,loan,0.40080000000000005,0.5992000000000001
2,30,same,hand,hand,0.2884,0.7116
2,30,diff,give,hand,0.2564000000000001,0.7435999999999999
2,31,same,lend,lend,0.5251999999999997,0.4748000000000003
2,31,diff,show,lend,0.5089999999999998,0.49100000000000016
2,32,same,send,send,0.4031999999999999,0.5968000000000002
2,32,diff,post,send,0.3992000000000001,0.6007999999999999
3,1,same,show,show,0.38159999999999983,0.6184000000000002
3,1,diff,give,show,0.35639999999999994,0.6436000000000002
3,2,same,hand,hand,0.3053999999999998,0.6946000000000002
3,2,diff,send,hand,0.2556000000000001,0.7444
3,3,same,give,give,0.6938000000000002,0.30619999999999986
3,3,diff,lend,give,0.7035999999999997,0.2964000000000002
3,4,same,loan,loan,0.47079999999999994,0.5292
3,4,diff,give,loan,0.3896000000000002,0.6103999999999997
3,5,same,send,send,0.4016000000000002,0.5983999999999997
3,5,diff,post,send,0.39559999999999984,0.6044000000000002
3,6,same,give,give,0.6980000000000002,0.30199999999999994
3,6,diff,hand,give,0.6908,0.30920000000000003
3,7,same,post,post,0.4966000000000001,0.5034
3,7,diff,sell,post,0.4174,0.5826
3,8,same,lend,lend,0.5656000000000002,0.43439999999999984
3,8,diff,show,lend,0.5186,0.48140000000000005
3,9,same,show,show,0.3752,0.6248000000000001
3,9,diff,give,show,0.3105999999999998,0.6894000000000001
3,10,same,hand,hand,0.3414000000000004,0.6585999999999996
3,10,diff,send,hand,0.2436000000000001,0.7564
3,11,same,loan,loan,0.4992,0.5008
3,11,diff,give,loan,0.4124,0.5876000000000001
3,12,same,sell,sell,0.3608000000000001,0.6391999999999999
3,12,diff,show,sell,0.2547999999999999,0.7452000000000001
3,13,same,send,send,0.38899999999999985,0.6110000000000002
3,13,diff,post,send,0.39480000000000015,0.6051999999999997
3,14,same,give,give,0.6756000000000004,0.32439999999999963
3,14,diff,hand,give,0.7071999999999998,0.2928000000000001
3,15,same,post,post,0.48760000000000014,0.5123999999999999
3,15,diff,send,post,0.4083999999999999,0.5916000000000001
3,16,same,show,show,0.38419999999999976,0.6158000000000001
3,16,diff,lend,show,0.33719999999999983,0.6628000000000002
3,17,same,hand,hand,0.29220000000000024,0.7077999999999999
3,17,diff,offer,hand,0.25220000000000026,0.7477999999999998
3,18,same,lend,lend,0.547,0.45299999999999996
3,18,diff,sell,lend,0.5356,0.4644000000000001
3,19,same,send,send,0.42380000000000045,0.5761999999999996
3,19,diff,show,send,0.35960000000000014,0.6403999999999997
3,20,same,show,show,0.3805999999999999,0.6194000000000002
3,20,diff,throw,show,0.3359999999999999,0.6640000000000001
3,21,same,loan,loan,0.483,0.517
3,21,diff,give,loan,0.42799999999999977,0.5720000000000002
3,22,same,give,give,0.6947999999999999,0.30519999999999997
3,22,diff,hand,give,0.6908000000000002,0.30919999999999986
3,23,same,lend,lend,0.5373999999999999,0.4626000000000001
3,23,diff,show,lend,0.5009999999999998,0.49900000000000017
3,24,same,send,send,0.3915999999999999,0.6084000000000002
3,24,diff,post,send,0.37180000000000013,0.6281999999999999
3,25,same,give,give,0.6939999999999997,0.30600000000000016
3,25,diff,lend,give,0.6953999999999999,0.3046000000000001
3,26,same,hand,hand,0.3140000000000001,0.6859999999999998
3,26,diff,offer,hand,0.23939999999999972,0.7606000000000002
3,27,same,send,send,0.41940000000000044,0.5805999999999996
3,27,diff,show,send,0.36639999999999995,0.6335999999999999
3,28,same,show,show,0.38680000000000014,0.6132
3,28,diff,throw,show,0.35180000000000006,0.6482
3,29,same,loan,loan,0.4892000000000001,0.5107999999999999
3,29,diff,give,loan,0.43599999999999994,0.5640000000000001
3,30,same,hand,hand,0.30919999999999964,0.6908000000000005
3,30,diff,give,hand,0.2571999999999999,0.7428000000000001
3,31,same,lend,lend,0.5536,0.4464
3,31,diff,show,lend,0.5127999999999997,0.48720000000000036
3,32,same,send,send,0.39559999999999995,0.6044
3,32,diff,post,send,0.39740000000000003,0.6026
4,1,same,show,show,0.35839999999999994,0.6416000000000001
4,1,diff,give,show,0.3445999999999996,0.6554000000000003
4,2,same,hand,hand,0.3163999999999999,0.6836
4,2,diff,send,hand,0.25199999999999984,0.7480000000000001
4,3,same,give,give,0.7056,0.29439999999999994
4,3,diff,lend,give,0.7072,0.29279999999999995
4,4,same,loan,loan,0.4680000000000001,0.5319999999999999
4,4,diff,give,loan,0.41080000000000005,0.5891999999999998
4,5,same,send,send,0.4049999999999998,0.5950000000000002
4,5,diff,post,send,0.40599999999999986,0.5940000000000001
4,6,same,give,give,0.7318000000000001,0.26819999999999994
4,6,diff,hand,give,0.7022000000000006,0.2977999999999995
4,7,same,post,post,0.4497999999999997,0.5502000000000002
4,7,diff,sell,post,0.4244,0.5756
4,8,same,lend,lend,0.5589999999999999,0.4410000000000001
4,8,diff,show,lend,0.5397999999999995,0.4602000000000004
4,9,same,show,show,0.3932000000000001,0.6067999999999998
4,9,diff,give,show,0.3492000000000003,0.6507999999999998
4,10,same,hand,hand,0.3021999999999997,0.6978000000000002
4,10,diff,send,hand,0.24939999999999976,0.7506000000000002
4,11,same,loan,loan,0.4600000000000001,0.5399999999999999
4,11,diff,give,loan,0.4023999999999999,0.5976
4,12,same,sell,sell,0.36639999999999995,0.6336000000000002
4,12,diff,show,sell,0.2979999999999997,0.7020000000000002
4,13,same,send,send,0.38780000000000014,0.6122
4,13,diff,post,send,0.3923999999999999,0.6076
4,14,same,give,give,0.7105999999999999,0.28940000000000016
4,14,diff,hand,give,0.7039999999999997,0.2960000000000001
4,15,same,post,post,0.4746000000000002,0.5253999999999999
4,15,diff,send,post,0.4054,0.5946
4,16,same,show,show,0.38599999999999984,0.6140000000000002
4,16,diff,lend,show,0.34260000000000007,0.6573999999999998
4,17,same,hand,hand,0.3318,0.6682000000000001
4,17,diff,offer,hand,0.2673999999999997,0.7326000000000003
4,18,same,lend,lend,0.5417999999999998,0.4582000000000002
4,18,diff,sell,lend,0.5224,0.4776000000000001
4,19,same,send,send,0.40440000000000037,0.5955999999999997
4,19,diff,show,send,0.3941999999999999,0.6058000000000001
4,20,same,show,show,0.3482,0.6518
4,20,diff,throw,show,0.3430000000000001,0.6569999999999998
4,21,same,loan,loan,0.4788000000000003,0.5211999999999997
4,21,diff,give,loan,0.39139999999999986,0.6086000000000001
4,22,same,give,give,0.6923999999999999,0.3076000000000002
4,22,diff,hand,give,0.7034000000000002,0.2965999999999998
4,23,same,lend,lend,0.5322,0.4678
4,23,diff,show,lend,0.48860000000000026,0.5113999999999997
4,24,same,send,send,0.3904000000000004,0.6095999999999997
4,24,diff,post,send,0.3972,0.6028
4,25,same,give,give,0.7116,0.2884
4,25,diff,lend,give,0.7091999999999999,0.2908
4,26,same,hand,hand,0.29420000000000024,0.7057999999999999
4,26,diff,offer,hand,0.2523999999999999,0.7476000000000002
4,27,same,send,send,0.39439999999999975,0.6056000000000002
4,27,diff,show,send,0.36939999999999984,0.6306000000000003
4,28,same,show,show,0.4050000000000003,0.5949999999999995
4,28,diff,throw,show,0.34480000000000005,0.6551999999999998
4,29,same,loan,loan,0.4602000000000002,0.5397999999999998
4,29,diff,give,loan,0.36159999999999987,0.6384000000000001
4,30,same,hand,hand,0.31079999999999985,0.6892000000000003
4,30,diff,give,hand,0.25300000000000006,0.7469999999999999
4,31,same,lend,lend,0.5424000000000004,0.4575999999999997
4,31,diff,show,lend,0.5396,0.4604
4,32,same,send,send,0.4051999999999998,0.5948000000000002
4,32,diff,post,send,0.4044,0.5956
5,1,same,show,show,0.3657999999999998,0.6342000000000001
5,1,diff,give,show,0.3598000000000005,0.6401999999999995
5,2,same,hand,hand,0.3119999999999997,0.6880000000000002
5,2,diff,send,hand,0.24699999999999975,0.7530000000000003
5,3,same,give,give,0.7056000000000003,0.2943999999999997
5,3,diff,lend,give,0.6994000000000005,0.30059999999999965
5,4,same,loan,loan,0.4737999999999997,0.5262000000000002
5,4,diff,give,loan,0.39959999999999996,0.6004
5,5,same,send,send,0.3988000000000001,0.6012000000000001
5,5,diff,post,send,0.39300000000000024,0.6069999999999998
5,6,same,give,give,0.7108000000000002,0.2891999999999999
5,6,diff,hand,give,0.6962,0.3038
5,7,same,post,post,0.46679999999999994,0.5332000000000001
5,7,diff,sell,post,0.41439999999999966,0.5856000000000003
5,8,same,lend,lend,0.5162000000000003,0.48379999999999973
5,8,diff,show,lend,0.4920000000000002,0.5079999999999998
5,9,same,show,show,0.3626000000000004,0.6373999999999996
5,9,diff,give,show,0.3435999999999999,0.6564
