Iteration, Item, Cond, Target, P_DO, P_PO
2,24,control,send,0.41159999999999963,0.5884000000000003
2,25,control,give,0.6914,0.3086
2,26,control,hand,0.24759999999999996,0.7524000000000001
2,27,control,send,0.39980000000000027,0.6001999999999997
2,28,control,show,0.32460000000000017,0.6753999999999998
2,29,control,loan,0.4021999999999998,0.5978000000000002
2,30,control,hand,0.2668000000000002,0.7331999999999999
2,31,control,lend,0.5006000000000005,0.4993999999999996
2,32,control,send,0.3867999999999999,0.6132
3,1,control,show,0.32800000000000035,0.6719999999999996
3,2,control,hand,0.2552,0.7448000000000001
3,3,control,give,0.698,0.30199999999999994
3,4,control,loan,0.40219999999999995,0.5978000000000002
3,5,control,send,0.3971999999999999,0.6028000000000001
3,6,control,give,0.6971999999999999,0.3028
3,7,control,post,0.39019999999999977,0.6098000000000002
3,8,control,lend,0.5099999999999998,0.4900000000000004
3,9,control,show,0.33239999999999975,0.6676000000000004
3,10,control,hand,0.2701999999999997,0.7298000000000003
3,11,control,loan,0.43120000000000014,0.5687999999999999
3,12,control,sell,0.2975999999999996,0.7024000000000005
3,13,control,send,0.3784000000000003,0.6215999999999997
3,14,control,give,0.6890000000000003,0.31099999999999967
3,15,control,post,0.3998000000000002,0.6001999999999997
3,16,control,show,0.32519999999999993,0.6748000000000002
3,17,control,hand,0.21379999999999977,0.7862000000000002
3,18,control,lend,0.5024000000000001,0.4976
3,19,control,send,0.39399999999999996,0.606
3,20,control,show,0.3448000000000002,0.6551999999999998
3,21,control,loan,0.4008000000000005,0.5991999999999997
3,22,control,give,0.6993999999999998,0.3006000000000003
3,23,control,lend,0.5230000000000002,0.47699999999999976
3,24,control,send,0.36040000000000005,0.6396
3,25,control,give,0.7082,0.2917999999999999
3,26,control,hand,0.247,0.753
3,27,control,send,0.39100000000000007,0.6089999999999999
3,28,control,show,0.3168000000000001,0.6831999999999998
3,29,control,loan,0.40319999999999995,0.5968000000000002
3,30,control,hand,0.23039999999999966,0.7696000000000003
3,31,control,lend,0.4809999999999998,0.5190000000000001
3,32,control,send,0.38459999999999955,0.6154000000000003
4,1,control,show,0.3397999999999999,0.6602000000000001
4,2,control,hand,0.26619999999999994,0.7338
4,3,control,give,0.6724000000000001,0.3275999999999997
4,4,control,loan,0.4144,0.5856000000000001
4,5,control,send,0.3832000000000001,0.6168
4,6,control,give,0.6981999999999998,0.3018000000000003
4,7,control,post,0.38600000000000034,0.6139999999999998
4,8,control,lend,0.5050000000000001,0.49499999999999983
4,9,control,show,0.33559999999999995,0.6644
4,10,control,hand,0.2681999999999996,0.7318000000000003
4,11,control,loan,0.3867999999999999,0.6132
4,12,control,sell,0.30419999999999997,0.6958000000000001
4,13,control,send,0.3925999999999996,0.6074000000000004
4,14,control,give,0.6822000000000004,0.3177999999999996
4,15,control,post,0.41979999999999995,0.5802
4,16,control,show,0.33620000000000017,0.6637999999999998
4,17,control,hand,0.25699999999999995,0.7430000000000001
4,18,control,lend,0.5202,0.47979999999999995
4,19,control,send,0.3888,0.6112
4,20,control,show,0.3633999999999997,0.6366000000000002
4,21,control,loan,0.4111999999999998,0.5888
4,22,control,give,0.7004000000000004,0.2995999999999996
4,23,control,lend,0.4996000000000005,0.5003999999999995
4,24,control,send,0.3903999999999998,0.6096000000000001
4,25,control,give,0.6910000000000001,0.30900000000000005
4,26,control,hand,0.2554000000000001,0.7445999999999999
4,27,control,send,0.37039999999999984,0.6296000000000002
4,28,control,show,0.31380000000000036,0.6861999999999996
4,29,control,loan,0.3963999999999997,0.6036000000000001
4,30,control,hand,0.2712000000000001,0.7287999999999999
4,31,control,lend,0.5089999999999999,0.49100000000000005
4,32,control,send,0.3667999999999998,0.6332000000000002
5,1,control,show,0.33140000000000036,0.6685999999999995
5,2,control,hand,0.24700000000000005,0.7529999999999999
5,3,control,give,0.6782000000000001,0.3217999999999997
5,4,control,loan,0.40339999999999976,0.5966000000000002
5,5,control,send,0.40280000000000005,0.5971999999999998
5,6,control,give,0.7089999999999999,0.29100000000000015
5,7,control,post,0.3817999999999997,0.6182000000000003
5,8,control,lend,0.5122,0.48780000000000007
5,9,control,show,0.3516,0.6484000000000001
5,10,control,hand,0.25140000000000007,0.7485999999999999
5,11,control,loan,0.41000000000000003,0.5900000000000001
5,12,control,sell,0.30179999999999985,0.6982000000000002
5,13,control,send,0.40119999999999995,0.5988
5,14,control,give,0.6888,0.3112000000000001
5,15,control,post,0.3980000000000003,0.6019999999999998
5,16,control,show,0.3435999999999998,0.6564000000000003
5,17,control,hand,0.24800000000000014,0.7519999999999999
5,18,control,lend,0.5134,0.4866000000000001
5,19,control,send,0.3934000000000002,0.6065999999999998
5,20,control,show,0.3216000000000003,0.6783999999999998
5,21,control,loan,0.37839999999999996,0.6215999999999999
5,22,control,give,0.7091999999999999,0.29080000000000006
5,23,control,lend,0.49259999999999976,0.5074000000000002
5,24,control,send,0.3942,0.6057999999999999
5,25,control,give,0.7118,0.28820000000000007
5,26,control,hand,0.22140000000000007,0.7786
5,27,control,send,0.4007999999999998,0.5992000000000002
5,28,control,show,0.3286,0.6714
5,29,control,loan,0.40219999999999995,0.5978
5,30,control,hand,0.24519999999999995,0.7548000000000001
5,31,control,lend,0.4974000000000002,0.5025999999999997
5,32,control,send,0.40200000000000036,0.5979999999999996
6,1,control,show,0.3430000000000001,0.6569999999999998
6,2,control,hand,0.24959999999999988,0.7504000000000001
6,3,control,give,0.6821999999999999,0.3178
6,4,control,loan,0.4143999999999997,0.5856000000000002
6,5,control,send,0.38999999999999996,0.61
6,6,control,give,0.7028000000000001,0.29719999999999985
6,7,control,post,0.40179999999999993,0.5982000000000002
6,8,control,lend,0.4819999999999998,0.5180000000000001
6,9,control,show,0.3027999999999997,0.6972000000000004
6,10,control,hand,0.25679999999999986,0.7432000000000001
6,11,control,loan,0.3923999999999999,0.6076
6,12,control,sell,0.2881999999999998,0.7118000000000002
6,13,control,send,0.40279999999999994,0.5972000000000001
6,14,control,give,0.6937999999999999,0.3062
6,15,control,post,0.4224000000000001,0.5775999999999999
6,16,control,show,0.3386000000000001,0.6613999999999999
6,17,control,hand,0.2466000000000001,0.7533999999999998
6,18,control,lend,0.4976000000000002,0.5023999999999998
6,19,control,send,0.4054000000000004,0.5945999999999996
6,20,control,show,0.3487999999999999,0.6512000000000001
6,21,control,loan,0.4062000000000002,0.5937999999999999
6,22,control,give,0.7095999999999999,0.29040000000000005
6,23,control,lend,0.49999999999999983,0.5000000000000001
6,24,control,send,0.3937999999999997,0.6062000000000003
6,25,control,give,0.7057999999999999,0.29420000000000013
6,26,control,hand,0.26580000000000004,0.7342
6,27,control,send,0.38680000000000025,0.6131999999999997
6,28,control,show,0.328,0.6719999999999999
6,29,control,loan,0.38399999999999956,0.6160000000000004
6,30,control,hand,0.25419999999999976,0.7458000000000002
6,31,control,lend,0.5105999999999998,0.48940000000000017
6,32,control,send,0.39280000000000026,0.6071999999999997
7,1,control,show,0.32279999999999953,0.6772000000000006
7,2,control,hand,0.25379999999999975,0.7462000000000002
7,3,control,give,0.6997999999999996,0.30020000000000036
7,4,control,loan,0.3934000000000003,0.6065999999999997
7,5,control,send,0.3702,0.6297999999999999
7,6,control,give,0.7026000000000001,0.2973999999999998
7,7,control,post,0.3952000000000004,0.6047999999999997
7,8,control,lend,0.5166,0.48340000000000016
7,9,control,show,0.3375999999999997,0.6624000000000003
7,10,control,hand,0.26159999999999994,0.7384000000000002
7,11,control,loan,0.4163999999999999,0.5836000000000001
7,12,control,sell,0.2601999999999998,0.7398000000000001
7,13,control,send,0.3709999999999996,0.6290000000000004
7,14,control,give,0.7073999999999999,0.2926000000000001
7,15,control,post,0.3840000000000002,0.6159999999999999
7,16,control,show,0.3323999999999999,0.6676000000000002
7,17,control,hand,0.2533999999999998,0.7466000000000003
7,18,control,lend,0.4973999999999996,0.5026000000000004
7,19,control,send,0.39199999999999996,0.608
7,20,control,show,0.3556000000000001,0.6443999999999999
7,21,control,loan,0.41039999999999943,0.5896000000000005
7,22,control,give,0.7091999999999998,0.29080000000000006
7,23,control,lend,0.49560000000000026,0.5043999999999996
7,24,control,send,0.3830000000000001,0.617
7,25,control,give,0.6884000000000001,0.3116
7,26,control,hand,0.25259999999999994,0.7474000000000001
7,27,control,send,0.3865999999999998,0.6134000000000002
7,28,control,show,0.3448000000000002,0.6551999999999998
7,29,control,loan,0.4224,0.5776
7,30,control,hand,0.24519999999999995,0.7548
7,31,control,lend,0.4874000000000002,0.5125999999999998
7,32,control,send,0.3942000000000004,0.6057999999999997
8,1,control,show,0.3425999999999999,0.6574000000000001
8,2,control,hand,0.26079999999999987,0.7392000000000002
8,3,control,give,0.7018000000000003,0.29819999999999963
8,4,control,loan,0.3801999999999997,0.6198000000000002
8,5,control,send,0.3739999999999999,0.626
8,6,control,give,0.6836000000000002,0.3163999999999999
8,7,control,post,0.39460000000000023,0.6053999999999998
8,8,control,lend,0.5108000000000004,0.4891999999999997
8,9,control,show,0.3258000000000002,0.6741999999999999
8,10,control,hand,0.2442000000000001,0.7557999999999998
8,11,control,loan,0.3892000000000003,0.6107999999999998
8,12,control,sell,0.2971999999999999,0.7028
8,13,control,send,0.37419999999999976,0.6258000000000001
8,14,control,give,0.7028000000000002,0.2971999999999998
8,15,control,post,0.4061999999999999,0.5938
8,16,control,show,0.3365999999999995,0.6634000000000005
8,17,control,hand,0.2483999999999999,0.7516000000000003
8,18,control,lend,0.5168,0.48319999999999985
8,19,control,send,0.39460000000000006,0.6054
8,20,control,show,0.31779999999999986,0.6822000000000001
8,21,control,loan,0.4055999999999996,0.5944000000000003
